dmoz.topic,name,frequency
1,Society/Religion_and_Spirituality,44855
2,Arts/Music,23213
3,Business/Industrial_Goods_and_Services,15218
4,Business/Construction_and_Maintenance,13899
5,Computers/Software,13819
6,Society/Law,13617
7,Computers/Internet,13455
8,Business/Business_Services,12793
9,Business/Arts_and_Entertainment,12014
10,Business/Consumer_Goods_and_Services,11716
11,Business/Textiles_and_Nonwovens,11180
12,Recreation/Outdoors,10109
13,Arts/Visual_Arts,9614
14,Business/Financial_Services,9603
15,Recreation/Pets,9518
16,Reference/Education,9286
17,Arts/Performing_Arts,8973
18,Recreation/Food,6642
19,Shopping/Home_and_Garden,6534
20,Business/Electronics_and_Electrical,6052
21,Health/Medicine,6020
22,Business/Transportation_and_Logistics,5942
23,Society/People,5480
24,Society/Organizations,5324
25,Sports/Soccer,5148
26,Games/Video_Games,5128
27,Sports/Golf,5059
28,Shopping/Crafts,5015
29,Society/Issues,5010
30,Science/Social_Sciences,4986
31,Business/Agriculture_and_Forestry,4877
32,Recreation/Travel,4699
33,Sports/Equestrian,4665
34,Business/Food_and_Related_Products,4561
35,Shopping/Food,4546
36,Computers/Programming,4545
37,Arts/Literature,4479
38,Business/Marketing_and_Advertising,4128
39,Shopping/Sports,4081
40,Shopping/Health,4033
41,Science/Biology,3952
42,Business/Healthcare,3907
43,Science/Technology,3868
44,Shopping/Clothing,3691
45,Business/Chemicals,3679
46,Health/Conditions_and_Diseases,3666
47,Business/Publishing_and_Printing,3650
48,Shopping/Recreation,3494
49,Business/Telecommunications,3449
50,Arts/Crafts,3407
51,Science/Environment,3367
52,Arts/Movies,3271
53,Shopping/Vehicles,3271
54,Computers/Hardware,3260
55,Business/Investing,3218
56,Business/Energy,3091
57,Sports/Martial_Arts,3060
58,Recreation/Autos,3047
59,Health/Alternative,3010
60,Reference/Museums,2986
61,Shopping/Visual_Arts,2958
62,Health/Animal,2955
63,Sports/Water_Sports,2576
64,Sports/Motorsports,2559
65,Shopping/Antiques_and_Collectibles,2556
66,News/Newspapers,2485
67,Health/Mental_Health,2258
68,Recreation/Aviation,2243
69,Business/Automotive,2237
70,Shopping/Consumer_Electronics,2227
71,Shopping/Publications,2180
72,Sports/Football,2101
73,Business/Accounting,2047
74,Recreation/Scouting,1992
75,Recreation/Collecting,1958
76,Science/Earth_Sciences,1935
77,Society/Philanthropy,1901
78,Arts/Television,1899
79,Home/Family,1897
80,Business/Management,1894
81,Arts/Photography,1864
82,Society/Relationships,1825
83,Business/Hospitality,1811
84,Home/Cooking,1770
85,Home/Gardening,1765
86,Sports/Cycling,1754
87,Shopping/Entertainment,1753
88,Shopping/Jewelry,1668
89,Society/History,1631
90,Science/Instruments_and_Supplies,1614
91,Society/Ethnicity,1594
92,Shopping/Pets,1519
93,Science/Math,1515
94,Recreation/Boating,1479
95,Business/Aerospace_and_Defense,1452
96,Games/Gambling,1435
97,Sports/Winter_Sports,1433
98,Business/Real_Estate,1418
99,Health/Public_Health_and_Safety,1403
100,Shopping/Music,1393
101,Business/Materials,1388
102,Society/Gay,_Lesbian,_and_Bisexual,1346
103,Health/Addictions,1340
104,Society/Death,1320
105,Business/Environment,1295
106,Computers/Multimedia,1295
107,Business/Opportunities,1220
108,Arts/Illustration,1217
109,Sports/Running,1217
110,Arts/Animation,1209
111,Recreation/Motorcycles,1209
112,Computers/Security,1182
113,Arts/Comics,1159
114,Science/Astronomy,1158
115,Sports/Hockey,1154
116,Arts/Radio,1095
117,Recreation/Radio,1094
118,Business/Retail_Trade,1040
119,Recreation/Humor,1029
120,Arts/Architecture,1020
121,Science/Chemistry,1009
122,Shopping/Toys_and_Games,984
123,Shopping/Gifts,976
124,Business/Biotechnology_and_Pharmaceuticals,971
125,Society/Genealogy,965
126,Computers/Systems,964
127,Arts/Writers_Resources,956
128,Computers/Consultants,948
129,Society/Politics,948
130,Society/Paranormal,922
131,Arts/People,916
132,Sports/Baseball,916
133,Science/Agriculture,907
134,Health/Reproductive_Health,884
135,Home/Consumer_Information,860
136,Science/Physics,851
137,Sports/Basketball,844
138,Shopping/Children,810
139,Arts/Online_Writing,774
140,Recreation/Camps,769
141,Business/Employment,759
142,News/Journalism,757
143,Society/Government,751
144,Arts/Education,749
145,Shopping/Ethnic_and_Regional,746
146,Business/Education_and_Training,745
147,Games/Board_Games,732
148,Shopping/Flowers,731
149,Health/Professions,698
150,Business/Small_Business,648
151,Society/Holidays,627
152,Computers/Data_Formats,623
153,Business/Information_Technology,608
154,Recreation/Models,606
155,Computers/Graphics,599
156,Society/Military,598
157,Recreation/Guns,582
158,Society/Philosophy,572
159,Recreation/Climbing,569
160,Business/Human_Resources,568
161,Computers/Data_Communications,568
162,Sports/Skating,558
163,Shopping/General_Merchandise,557
164,Business/International_Business_and_Trade,550
165,Shopping/Office_Products,539
166,Sports/Cricket,539
167,Games/Roleplaying,521
168,Reference/Libraries,511
169,Recreation/Living_History,510
170,Recreation/Birding,506
171,Shopping/Niche,494
172,Arts/Art_History,490
173,Recreation/Trains_and_Railroads,490
174,Computers/CAD_and_CAM,481
175,Arts/Design,468
176,Shopping/Holidays,456
177,Recreation/Antiques,454
178,Recreation/Nudism,446
179,Society/Disabled,432
180,Games/Card_Games,415
181,Shopping/Photography,414
182,Reference/Knowledge_Management,411
183,Home/Personal_Finance,408
184,Arts/Bodyart,404
185,Shopping/Tools,404
186,Health/Senior_Health,402
187,Business/E-Commerce,401
188,Recreation/Roads_and_Highways,388
189,Society/Crime,387
190,Games/Online,384
191,Business/Mining_and_Drilling,382
192,Sports/Bowling,370
193,Computers/Education,366
194,Health/Nursing,359
195,Sports/Gymnastics,352
196,Sports/Tennis,344
197,Games/Puzzles,340
198,Computers/Robotics,336
199,Society/Activism,335
200,Sports/Volleyball,330
201,Reference/Dictionaries,324
202,Computers/Companies,315
203,Recreation/Theme_Parks,315
204,Society/Subcultures,315
205,Health/Pharmacy,310
206,Sports/Fencing,309
207,Computers/Mobile_Computing,306
208,News/Media_Industry,301
209,News/Colleges_and_Universities,298
210,Games/Miniatures,297
211,Sports/Strength_Sports,293
212,Health/Nutrition,286
213,Society/Sexuality,281
214,Health/Beauty,280
215,Arts/Organizations,275
216,Games/Coin-Op,272
217,Sports/Track_and_Field,270
218,Sports/Flying_Discs,269
219,Arts/Graphic_Design,266
220,Shopping/Classifieds,256
221,Sports/Paintball,255
222,Health/Dentistry,253
223,Science/Science_in_Society,253
224,Sports/Softball,247
225,Shopping/Tobacco,244
226,Arts/Genres,240
227,Society/Lifestyle_Choices,238
228,Computers/Speech_Technology,237
229,Society/Transgendered,224
230,Sports/Fantasy,221
231,Sports/Lacrosse,209
232,Sports/Multi-Sports,202
233,Sports/Events,201
234,Computers/Open_Source,198
235,Business/Customer_Service,197
236,Computers/Computer_Science,194
237,Society/Work,194
238,Sports/Wrestling,194
239,Computers/Artificial_Intelligence,193
240,Sports/Boxing,193
241,Shopping/Weddings,185
242,Health/Fitness,179
243,Sports/Cheerleading,178
244,Sports/Squash,174
245,Home/Home_Improvement,171
246,Arts/Entertainment,167
247,Science/Anomalies_and_Alternative_Science,164
248,Sports/Darts,164
249,Computers/Virtual_Reality,162
250,Health/Home_Health,161
251,Health/Occupational_Health_and_Safety,160
252,Science/Reference,150
253,Society/Folklore,149
254,Health/Child_Health,145
255,Computers/Human-Computer_Interaction,143
256,Sports/Gaelic,140
257,Health/Senses,138
258,Shopping/Auctions,136
259,Sports/Skateboarding,136
260,Health/Support_Groups,130
261,Sports/Badminton,130
262,News/Analysis_and_Opinion,129
263,Reference/Quotations,129
264,Science/Educational_Resources,128
265,Business/Wholesale_Trade,125
266,Shopping/Travel,121
267,Home/Personal_Organization,117
268,Arts/Digital,116
269,Computers/Emulators,116
270,Sports/Rodeo,116
271,Health/Women's_Health,113
272,Arts/Video,112
273,Sports/Disabled,112
274,Reference/Directories,108
275,Reference/Archives,104
276,Computers/Usenet,103
277,Society/Future,103
278,Business/News_and_Media,100
279,Home/Homemaking,96
280,Sports/Resources,93
281,Recreation/Kites,92
282,Science/Software,92
283,Health/Weight_Loss,91
284,Sports/Adventure_Racing,88
285,Games/Trading_Card_Games,87
286,Sports/Cue_Sports,87
287,Games/Conventions,86
288,Games/Party_Games,85
289,Sports/College_and_University,85
290,News/Weather,79
291,Health/Education,78
292,Health/Organizations,78
293,Science/Methods_and_Techniques,77
294,Science/News_and_Media,76
295,Sports/Table_Tennis,75
296,Reference/Maps,74
297,Sports/Extreme_Sports,74
298,Recreation/Audio,72
299,Recreation/Tobacco,72
300,Science/Publications,68
301,Computers/Hacking,67
302,Computers/News_and_Media,67
303,Games/Yard,_Deck,_and_Table_Games,65
304,Shopping/Death_Care,65
305,Arts/Directories,63
306,Health/News_and_Media,60
307,Science/Organizations,60
308,Computers/Desktop_Publishing,58
309,Society/Support_Groups,58
310,Sports/Laser_Games,57
311,Health/Men's_Health,56
312,Home/Rural_Living,55
313,News/Alternative,55
314,Sports/Croquet,54
315,Business/Major_Companies,53
316,Computers/E-Books,52
317,Sports/Greyhound_Racing,51
318,Computers/History,47
319,News/Magazines_and_E-zines,47
320,Recreation/Drugs,47
321,Sports/People,47
322,Sports/Racquetball,46
323,Business/Resources,45
324,Computers/Home_Automation,45
325,Recreation/Knives,45
326,Reference/Flags,45
327,Sports/Netball,45
328,Arts/Magazines_and_E-zines,44
329,Computers/Artificial_Life,44
330,Health/Specific_Substances,44
331,Computers/FAQs,_Help,_and_Tutorials,43
332,Computers/Parallel_Computing,43
333,Reference/Knots,43
334,Sports/Airsoft,42
335,Computers/Bulletin_Board_Systems,41
336,News/Weblogs,40
337,Computers/Organizations,38
338,Business/Information_Services,36
339,Sports/Informal_Sports,36
340,Games/Tile_Games,33
341,Home/Moving_and_Relocating,33
342,Recreation/Picture_Ratings,32
343,News/Current_Events,30
344,Society/Advice,30
345,Sports/Orienteering,30
346,Science/Events,29
347,Business/Cooperatives,28
348,Business/Directories,28
349,News/Breaking_News,28
350,Computers/Algorithms,27
351,Health/Resources,27
352,Reference/Ask_an_Expert,27
353,Games/Game_Studies,26
354,Sports/Rope_Skipping,26
355,Arts/Classical_Studies,25
356,Reference/Time,25
357,Reference/Bibliography,24
358,Sports/Korfball,24
359,Sports/Team_Handball,24
360,Business/Business_and_Society,23
361,Sports/Walking,23
362,News/Headline_Links,22
363,Science/Employment,22
364,Sports/Software,22
365,Sports/Team_Spirit,22
366,Home/Entertaining,21
367,Sports/Organizations,21
368,Games/Developers_and_Publishers,20
369,Games/Dice,20
370,Health/Aging,20
371,Home/Emergency_Preparation,20
372,Science/Research_Groups_and_Centers,20
373,Sports/Petanque,20
374,Health/Teen_Health,19
375,Computers/Intranet,18
376,Home/Homeowners,18
377,Arts/Humanities,16
378,Computers/Performance_and_Capacity,16
379,News/Directories,16
380,Sports/Archery,16
381,Health/Services,15
382,Home/Apartment_Living,15
383,Home/Do-It-Yourself,15
384,Sports/Paddleball,15
385,News/Satire,14
386,Reference/Biography,14
387,Reference/Encyclopedias,14
388,Sports/Youth_and_High_School,14
389,Home/News_and_Media,13
390,Reference/Almanacs,13
391,Sports/Boomerang,13
392,Arts/Weblogs,12
393,Computers/Shopping,12
394,Reference/Parliamentary_Procedure,12
395,Science/Directories,12
396,Arts/Costumes,11
397,Games/Hand-Eye_Coordination,11
398,Business/Associations,10
399,Computers/Chats_and_Forums,10
400,Computers/Supercomputing,10
401,Games/Play-By-Mail,10
402,News/Internet_Broadcasts,10
403,Sports/Bocce,10
404,Sports/Handball,10
405,Science/Chats_and_Forums,9
406,Sports/Lumberjack,9
407,News/NA,8
408,Recreation/Locks,8
409,Shopping/Directories,8
410,Sports/Women,7
411,Arts/Awards,6
412,Games/Hand_Games,6
413,Games/Paper_and_Pencil,6
414,Games/Play_Groups,6
415,Games/Resources,6
416,Home/Software,6
417,Recreation/Parties,6
418,Science/Search_Engines,6
419,Sports/Jai_Alai,6
420,Computers/Ethics,5
421,News/Museums_and_Archives,5
422,Sports/Sepak_Takraw,5
423,Arts/Chats_and_Forums,4
424,Computers/Mailing_Lists,4
425,Health/Directories,4
426,News/Chats_and_Forums,4
427,News/Personalized_News,4
428,Reference/Thesauri,4
429,Reference/World_Records,4
430,Sports/Animal_Sports,4
431,Sports/Kabbadi,4
432,Sports/Officiating,4
433,Health/Search_Engines,3
434,Recreation/Whips,3
435,Reference/Books,3
436,Sports/Rounders,3
437,Arts/News_and_Media,2
438,Home/Urban_Living,2
439,News/Extended_Coverage,2
440,Sports/Goalball,2
441,Arts/Periods_and_Movements,1
442,Arts/Personal_Pages,1
443,Computers/Directories,1
444,Games/History,1
445,Reference/Journals,1
446,Sports/Footbag,1
447,Sports/Pesäpallo,1
448,Sports/Tchoukball,1
